Ciqual AGB,Ciqual code,Nom Français,Groupe d'aliment,Sous-groupe d'aliment,LCI Name,Ingredients,Score unique EF (mPt/kg de produit),Changement climatique (kg CO2 eq/kg de produit),Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),Rayonnements ionisants (kBq U-235 eq/kg de produit),Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),Particules (E-06 disease inc./kg de produit),Acidification terrestre et eaux douces (mol H+ eq/kg de produit),Eutrophisation terreste (mol N eq/kg de produit),Eutrophisation eaux douces (E-03 kg P eq/kg de produit),Eutrophisation marine (E-03 kg N eq/kg de produit),Utilisation du sol (Pt/kg de produit),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),Épuisement des ressources eau (m3 depriv./kg de produit),Épuisement des ressources énergétiques (MJ/kg de produit),Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit)
11168,11168,"Sauce aïoli, préemballée",aides culinaires et ingrédients divers,sauces,"Aioli sauce (garlic and olive oil mayonnaise), prepacked",Jaune d'œuf,0.04,0.16,0.01,0.03,0.63,0.05,0.01,0.03,0.05,1.33,16.98,7.40,0.34,1.48,0.25
11168,11168,"Sauce aïoli, préemballée",aides culinaires et ingrédients divers,sauces,"Aioli sauce (garlic and olive oil mayonnaise), prepacked",Ail,0.00,0.01,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.19,1.64,1.22,0.29,0.23,0.08
11168,11168,"Sauce aïoli, préemballée",aides culinaires et ingrédients divers,sauces,"Aioli sauce (garlic and olive oil mayonnaise), prepacked",Jus de citron,0.02,0.06,0.01,0.01,0.33,0.01,0.00,0.00,0.02,0.21,3.71,2.63,1.45,0.79,0.20
11168,11168,"Sauce aïoli, préemballée",aides culinaires et ingrédients divers,sauces,"Aioli sauce (garlic and olive oil mayonnaise), prepacked",Huile d'olive,0.45,1.16,0.14,0.08,10.41,0.14,0.02,0.09,0.55,9.26,7.58,464.10,9.37,12.10,4.42
11168,11168,"Sauce aïoli, préemballée",aides culinaires et ingrédients divers,sauces,"Aioli sauce (garlic and olive oil mayonnaise), prepacked",Autres étapes,0.08,0.57,0.13,0.75,1.69,0.02,0.00,0.01,0.09,1.30,4.53,11.43,0.76,22.63,1.28
24664,24664,Gâteau aux amandes type financier,produits céréaliers,gâteaux et pâtisseries,Almond cake,Amande,0.35,0.91,0.07,0.07,4.77,0.10,0.01,0.05,0.41,4.77,64.11,49.55,27.02,11.36,8.10
24664,24664,Gâteau aux amandes type financier,produits céréaliers,gâteaux et pâtisseries,Almond cake,Beurre,0.29,3.95,0.12,0.13,6.36,0.22,0.03,0.12,0.49,9.77,125.87,24.55,2.57,11.59,4.40
24664,24664,Gâteau aux amandes type financier,produits céréaliers,gâteaux et pâtisseries,Almond cake,Blanc d'oeuf,0.11,0.46,0.04,0.08,1.77,0.13,0.02,0.08,0.15,3.72,47.54,20.72,0.95,4.13,0.70
24664,24664,Gâteau aux amandes type financier,produits céréaliers,gâteaux et pâtisseries,Almond cake,Farine de blé,0.01,0.04,0.00,0.01,0.18,0.01,0.00,0.00,0.01,0.64,8.36,2.23,0.02,0.36,0.08
24664,24664,Gâteau aux amandes type financier,produits céréaliers,gâteaux et pâtisseries,Almond cake,Sucre blanc,0.03,0.16,0.01,0.01,0.61,0.03,0.00,0.02,0.05,1.51,9.18,7.05,0.63,1.62,0.38
