Code AGB,Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,LCI Name,code saison (0 : hors saison ; 1 : de saison ; 2 : mix de consommation FR),code avion (1 : par avion),Livraison,Matériau d'emballage,Préparation,DQR - Note de qualité de la donnée (1 excellente ; 5 très faible),Score unique EF (mPt/kg de produit),Changement climatique (kg CO2 eq/kg de produit),Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),Rayonnements ionisants (kBq U-235 eq/kg de produit),Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),Particules (E-06 disease inc./kg de produit),Acidification terrestre et eaux douces (mol H+ eq/kg de produit),Eutrophisation terreste (mol N eq/kg de produit),Eutrophisation eaux douces (E-03 kg P eq/kg de produit),Eutrophisation marine (E-03 kg N eq/kg de produit),Utilisation du sol (Pt/kg de produit),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),Épuisement des ressources eau (m3 depriv./kg de produit),Épuisement des ressources énergétiques (MJ/kg de produit),Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit)
13712,13712,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot au sirop léger, appertisé, égoutté","Apricot, canned in light syrup, drained",2,0,Ambiant (moyenne),Acier,Pas de préparation ,2.46,0.22,1.22,0.25,1.82,4.66,0.10,0.01,0.03,0.41,1.50,44.82,62.20,1.63,47.24,2.94
13713,13713,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot au sirop léger, appertisé, non égoutté","Apricot, canned in light syrup, not drained",2,0,Ambiant (moyenne),Acier,Pas de préparation ,2.46,0.13,0.61,0.15,1.14,2.78,0.06,0.01,0.02,0.24,0.80,27.90,36.29,1.01,29.40,1.82
13714,13714,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot au sirop, appertisé, égoutté","Apricot, in syrup, canned, drained",2,0,Ambiant (moyenne),Acier,Pas de préparation ,2.46,0.22,1.22,0.25,1.82,4.66,0.10,0.01,0.03,0.41,1.50,44.82,62.20,1.63,47.24,2.94
13715,13715,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot au sirop, appertisé, non égoutté","Apricot, in syrup, canned, not drained",2,0,Ambiant (moyenne),Acier,Pas de préparation,2.44,0.13,0.61,0.15,1.14,2.78,0.06,0.01,0.02,0.24,0.80,27.90,36.29,1.01,29.40,1.82
13000,13000,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot, dénoyauté, cru","Apricot, pitted, raw",2,0,Ambiant (moyenne),LPDE,Pas de préparation,2.20,0.12,0.86,0.09,0.30,3.07,0.06,0.01,0.03,0.20,0.94,43.84,41.96,1.41,17.12,2.17
13001,13001,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot, dénoyauté, sec","Apricot, pitted, dried",2,0,Ambiant (moyenne),LPDE,Pas de préparation,2.64,0.80,2.65,0.86,7.67,14.12,0.32,0.04,0.16,1.04,4.96,248.63,260.49,7.72,184.62,11.02
25433,25433,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,Accra de poisson,"Caribbean-style fish fritters, fish acras",2,0,Glacé,PS,Four,3.14,0.91,5.25,1.13,1.63,89.97,0.98,0.14,0.39,0.46,35.69,66.20,63.21,2.09,96.61,9.97
11084,11084,aides culinaires et ingrédients divers,algues,"Agar (algue), cru","Seaweed, agar, raw",2,0,Ambiant (long),LPDE,Pas de préparation,2.99,1.25,6.55,1.89,12.26,34.82,0.70,0.10,0.12,2.24,11.71,21.75,157.99,4.93,341.43,30.23
21508,21508,"viandes, œufs, poissons",viandes cuites,"Agneau, collier, braisé ou bouilli","Lamb, neck, braised or boiled",2,0,Glacé,PS,Four,2.65,6.09,62.69,1.29,2.36,86.97,6.37,0.95,4.20,3.22,198.62,5535.06,481.60,15.54,129.24,22.66
21514,21514,"viandes, œufs, poissons",viandes crues,"Agneau, collier, cru","Lamb, neck, raw",2,0,Glacé,PS,Pas de préparation,2.63,4.79,49.58,0.98,1.38,68.71,5.04,0.75,3.32,2.52,157.15,4381.34,378.68,12.20,92.03,17.50
21516,21516,"viandes, œufs, poissons",viandes crues,"Agneau, côte filet, crue","Lamb, chop fillet, raw",2,0,Glacé,PS,Pas de préparation,2.63,4.79,49.58,0.98,1.38,68.71,5.04,0.75,3.32,2.52,157.15,4381.34,378.68,12.20,92.03,17.50
21509,21509,"viandes, œufs, poissons",viandes cuites,"Agneau, côte filet, grillée/poêlée","Lamb, chop fillet, grilled/pan-fried",2,0,Glacé,PS,Poêle,2.65,6.07,62.73,1.25,1.84,86.97,6.37,0.95,4.20,3.19,198.84,5537.69,480.24,15.44,119.31,22.31
21517,21517,"viandes, œufs, poissons",viandes crues,"Agneau, côte première, crue","Lamb, rib chop, raw",2,0,Glacé,PS,Pas de préparation,2.63,4.79,49.58,0.98,1.38,68.71,5.04,0.75,3.32,2.52,157.15,4381.34,378.68,12.20,92.03,17.50
21512,21512,"viandes, œufs, poissons",viandes cuites,"Agneau, côte première, grillée/poêlée","Lamb, rib chop, grilled/pan-fried",2,0,Glacé,PS,Poêle,2.65,6.07,62.73,1.25,1.84,86.97,6.37,0.95,4.20,3.19,198.84,5537.69,480.24,15.44,119.31,22.31
21500,21500,"viandes, œufs, poissons",viandes crues,"Agneau, côtelette, crue","Lamb, cutlet, raw",2,0,Glacé,PS,Pas de préparation,2.63,3.83,39.58,0.78,1.11,54.90,4.03,0.60,2.66,2.00,125.65,3505.03,301.60,9.76,73.58,14.00
21501,21501,"viandes, œufs, poissons",viandes cuites,"Agneau, côtelette, grillée","Lamb cutlet, grilled",2,0,Glacé,PS,Poêle,2.65,4.85,50.10,1.01,1.49,69.53,5.10,0.76,3.36,2.54,159.04,4430.69,382.88,12.35,96.00,17.88
21504,21504,"viandes, œufs, poissons",viandes crues,"Agneau, épaule, crue","Lamb, shoulder, raw",2,0,Glacé,PS,Pas de préparation,2.63,3.83,39.58,0.78,1.11,54.90,4.03,0.60,2.66,2.00,125.65,3505.03,301.60,9.76,73.58,14.00
21505,21505,"viandes, œufs, poissons",viandes crues,"Agneau, épaule, maigre, crue","Lamb, shoulder, lean, raw",2,0,Glacé,PS,Pas de préparation,2.63,3.83,39.58,0.78,1.11,54.90,4.03,0.60,2.66,2.00,125.65,3505.03,301.60,9.76,73.58,14.00
21507,21507,"viandes, œufs, poissons",viandes cuites,"Agneau, épaule, maigre, rôtie/cuite au four","Lamb, shoulder, lean, roasted/baked",2,0,Glacé,PS,Four,2.65,4.87,50.07,1.04,2.01,69.53,5.10,0.76,3.36,2.57,158.82,4428.06,384.23,12.45,105.94,18.23
21506,21506,"viandes, œufs, poissons",viandes cuites,"Agneau, épaule, rôtie/cuite au four","Lamb, shoulder, roasted/baked",2,0,Glacé,PS,Four,2.65,4.87,50.07,1.04,2.01,69.53,5.10,0.76,3.36,2.57,158.82,4428.06,384.23,12.45,105.94,18.23
21519,21519,"viandes, œufs, poissons",viandes cuites,"Agneau, gigot, braisé","Lamb, leg, braised",2,0,Glacé,PS,Four,2.65,6.09,62.69,1.29,2.36,86.97,6.37,0.95,4.20,3.22,198.62,5535.06,481.60,15.54,129.24,22.66
